,id,origin,entity,category
1419,1115759837,Laborum,git,programming language
1429,1115759837,Laborum,selenium,programming language
1430,1115759837,Laborum,appium,programming language
1431,1115759837,Laborum,perfecto,programming language
1437,1115759837,Laborum,git,programming language
1439,1115759837,Laborum,java,programming language
1444,1115759837,Laborum,jsp,programming language
1446,1115759837,Laborum,javascript,programming language
1447,1115759837,Laborum,html,programming language
1448,1115759837,Laborum,xml,programming language
1458,1115759768,Laborum,html,programming language
1459,1115759768,Laborum,css,programming language
1460,1115759768,Laborum,javascript,programming language
1522,1115759127,Laborum,swift,programming language
1523,1115759127,Laborum,kotlin,programming language
1524,1115759127,Laborum,php,programming language
1525,1115759127,Laborum,java,programming language
1583,1115759075,Laborum,nodejs,programming language
1585,1115759075,Laborum,react native,programming language
1602,1115758610,Laborum,nodejs,programming language
1607,1115758610,Laborum,mongodb,programming language
1615,1115757450,Laborum,c#,programming language
1616,1115757450,Laborum,visual basic,programming language
1617,1115757450,Laborum,javascript,programming language
1666,1115752866,Laborum,nodejs,programming language
1667,1115752866,Laborum,typescript,programming language
1668,1115752866,Laborum,react native,programming language
1687,1115752861,Laborum,python,programming language
1721,1115750555,Laborum,c#,programming language
1722,1115750555,Laborum,nodejs,programming language
1725,1115750555,Laborum,nosql,programming language
1726,1115750555,Laborum,plsql,programming language
1739,1115750555,Laborum,java,programming language
1740,1115750555,Laborum,c++,programming language
1741,1115750555,Laborum,scala,programming language
1773,1115640246,Laborum,c#,programming language
1774,1115640246,Laborum,visual basic,programming language
1775,1115640246,Laborum,java,programming language
1776,1115640246,Laborum,css,programming language
1777,1115640246,Laborum,php,programming language
1796,1115640246,Laborum,.net,programming language
1799,1115640246,Laborum,c#,programming language
1800,1115640246,Laborum,asp.net,programming language
1820,1115746669,Laborum,php,programming language
1821,1115746669,Laborum,javascript,programming language
1822,1115746669,Laborum,html,programming language
1846,1115745868,Laborum,sql,programming language
1847,1115745868,Laborum,python,programming language
1848,1115745868,Laborum,java,programming language
1884,1115744740,Laborum,nodejs,programming language
1885,1115744740,Laborum,laravel,programming language
1923,1115740591,Laborum,.net,programming language
1924,1115740591,Laborum,c++,programming language
1943,1115740538,Laborum,java,programming language
1944,1115740538,Laborum,javascript,programming language
1945,1115740538,Laborum,html,programming language
1999,1115735801,Laborum,react,programming language
2000,1115735801,Laborum,scala,programming language
2037,1115729839,Laborum,sql server,programming language
2038,1115729839,Laborum,oracle,programming language
2081,1115719227,Laborum,java,programming language
2099,1115718056,Laborum,android,programming language
2099,1115718056,Laborum,ios,programming language
2165,1115705092,Laborum,react,programming language
2184,1115702526,Laborum,react,programming language
2185,1115702526,Laborum,node,programming language
2186,1115702526,Laborum,typescript,programming language
2187,1115702526,Laborum,java,programming language
2188,1115702526,Laborum,angular.js,programming language
2189,1115702526,Laborum,scrum master,certification
2210,1115693726,Laborum,java,programming language
2233,1115693715,Laborum,javascript,programming language
2234,1115693715,Laborum,typescript,programming language
2235,1115693715,Laborum,ecmascript,programming language
2236,1115693715,Laborum,vuejs,programming language
2237,1115693715,Laborum,nodejs,programming language
2245,1115693715,Laborum,redis,programming language
2246,1115693715,Laborum,postgresql,programming language
2304,1115688317,Laborum,python,programming language
2305,1115688317,Laborum,django,programming language
2312,1115688317,Laborum,html,programming language
2313,1115688317,Laborum,css,programming language
2314,1115688317,Laborum,javascript,programming language
2321,1115688317,Laborum,.net,programming language
2322,1115688317,Laborum,html,programming language
2323,1115688317,Laborum,css,programming language
2334,1115686784,Laborum,asp.net,programming language
2335,1115686784,Laborum,asp classic,programming language
2337,1115686784,Laborum,javascript,programming language
2338,1115686784,Laborum,.net,programming language
2339,1115686784,Laborum,2017,programming language
2339,1115686784,Laborum,2008,programming language
2340,1115686784,Laborum,mvc 5 razor,programming language
2341,1115686784,Laborum,framework 3.0,programming language
2341,1115686784,Laborum,3.5,programming language
2341,1115686784,Laborum,4.6,programming language
2344,1115686784,Laborum,visual basic,programming language
2345,1115686784,Laborum,.bat,programming language
2347,1115686784,Laborum,jira,programming language
2365,1115686784,Laborum,php,programming language
2366,1115686784,Laborum,java,programming language
2367,1115686784,Laborum,javascript,programming language
2371,1115686784,Laborum,python,programming language
2443,1115671504,Laborum,pl,programming language
2443,1115671504,Laborum,sql,programming language
2449,1115671504,Laborum,.net,programming language
2452,1115671504,Laborum,html5,programming language
2453,1115671504,Laborum,css3,programming language
2454,1115671504,Laborum,sql,programming language
2474,1115370202,Laborum,sql,programming language
2555,1115766736,Laborum,windows,programming language
2556,1115766736,Laborum,linux,programming language
2646,1115765927,Laborum,java,programming language
2653,1115765927,Laborum,mysql,programming language
2720,1115765927,Laborum,java,programming language
2727,1115765927,Laborum,mysql,programming language
2794,1115765927,Laborum,java,programming language
2801,1115765927,Laborum,mysql,programming language
2868,1115765927,Laborum,java,programming language
2875,1115765927,Laborum,mysql,programming language
2942,1115765927,Laborum,java,programming language
2949,1115765927,Laborum,mysql,programming language
3016,1115765927,Laborum,java,programming language
3023,1115765927,Laborum,mysql,programming language
3090,1115765927,Laborum,java,programming language
3097,1115765927,Laborum,mysql,programming language
3164,1115765927,Laborum,java,programming language
3171,1115765927,Laborum,mysql,programming language
3213,1115764516,Laborum,angular.js,programming language
3214,1115764516,Laborum,c#,programming language
3215,1115764516,Laborum,.net,programming language
3223,1115762580,Laborum,php,programming language
3225,1115762580,Laborum,html,programming language
3226,1115762580,Laborum,css,programming language
3227,1115762580,Laborum,javascript,programming language
3228,1115762580,Laborum,arduino,programming language
3229,1115762580,Laborum,c++,programming language
3230,1115762580,Laborum,.net,programming language
3231,1115762580,Laborum,c#,programming language
3233,1115762580,Laborum,power apps,programming language
3234,1115762580,Laborum,microsoft flow,programming language
3235,1115762580,Laborum,sharepoint,programming language
3236,1115762580,Laborum,git,programming language
3237,1115762580,Laborum,azure,programming language
3238,1115762580,Laborum,sql server,programming language
3239,1115762580,Laborum,power bi,programming language
3257,1115762458,Laborum,bash script,programming language
3263,1115762458,Laborum,javascript,programming language
3264,1115762458,Laborum,html5,programming language
3265,1115762458,Laborum,css3,programming language
3266,1115762458,Laborum,react,programming language
3267,1115762458,Laborum,redux,programming language
3268,1115762458,Laborum,node,programming language
3282,1115762433,Laborum,bash script,programming language
3319,1115760816,Laborum,javascript,programming language
3320,1115760816,Laborum,html,programming language
3321,1115760816,Laborum,css,programming language
3322,1115760816,Laborum,react,programming language
3323,1115760816,Laborum,nodejs,programming language
3354,1115760273,Laborum,sql,programming language
3396,1115757759,Laborum,java,programming language
3401,1115757759,Laborum,javascript,programming language
3402,1115757759,Laborum,python,programming language
3403,1115757759,Laborum,ruby on rails,programming language
3443,1115756865,Laborum,html,programming language
3444,1115756865,Laborum,css,programming language
3485,1115756021,Laborum,php,programming language
3486,1115756021,Laborum,java,programming language
3487,1115756021,Laborum,javascript,programming language
3494,1115756021,Laborum,html,programming language
3495,1115756021,Laborum,css,programming language
3540,1115755475,Laborum,cobol,programming language
3563,1115755309,Laborum,nodejs,programming language
3595,1115755275,Laborum,nodejs,programming language
3618,1115755229,Laborum,nodejs,programming language
3619,1115755229,Laborum,typescript,programming language
3620,1115755229,Laborum,react,programming language
3637,1115755190,Laborum,java,programming language
3638,1115755190,Laborum,pl,programming language
3638,1115755190,Laborum,sql,programming language
3639,1115755190,Laborum,jsp,programming language
3655,1115754803,Laborum,asp.net,programming language
3658,1115754803,Laborum,html,programming language
3659,1115754803,Laborum,css,programming language
3661,1115754803,Laborum,javascript,programming language
3665,1115754803,Laborum,sqt,programming language
3695,1115754781,Laborum,php,programming language
3697,1115754781,Laborum,css,programming language
3698,1115754781,Laborum,html,programming language
3699,1115754781,Laborum,javascript,programming language
3768,1115754561,Laborum,javascript,programming language
3769,1115754561,Laborum,html5,programming language
3770,1115754561,Laborum,css3,programming language
3781,1115754503,Laborum,react,programming language
3788,1115754503,Laborum,nodejs,programming language
3806,1115753371,Laborum,php,programming language
3807,1115753371,Laborum,javascript,programming language
3809,1115753371,Laborum,sql,programming language
3813,1115753371,Laborum,.net,programming language
3814,1115753371,Laborum,visual basic,programming language
3815,1115753371,Laborum,asterix,programming language
3850,1115753275,Laborum,rest,programming language
3851,1115753275,Laborum,php,programming language
3866,1115753205,Laborum,upath,programming language
3869,1115753205,Laborum,python,programming language
3889,1115753104,Laborum,java,programming language
4019,1115752266,Laborum,c#,programming language
4020,1115752266,Laborum,nodejs,programming language
4032,1115752236,Laborum,java,programming language
4033,1115752236,Laborum,javascript,programming language
4063,1115752146,Laborum,sql,programming language
4091,1115751410,Laborum,abap,programming language
4148,1115773678,Laborum,html5,programming language
4149,1115773678,Laborum,css3,programming language
4150,1115773678,Laborum,javascript,programming language
4151,1115773678,Laborum,.net,programming language
4175,1115773504,Laborum,ruby on rails,programming language
4183,1115773504,Laborum,rspec,programming language
4197,1115773504,Laborum,react,programming language
4198,1115773504,Laborum,javascript,programming language
4199,1115773504,Laborum,html,programming language
4200,1115773504,Laborum,css,programming language
4309,1115772457,Laborum,python,programming language
4310,1115772457,Laborum,sql server,programming language
4310,1115772457,Laborum,oracle,programming language
4310,1115772457,Laborum,posgres,programming language
4323,1115772457,Laborum,html,programming language
4324,1115772457,Laborum,css,programming language
4325,1115772457,Laborum,javascript,programming language
4327,1115772457,Laborum,php,programming language
4328,1115772457,Laborum,sql,programming language
4329,1115772457,Laborum,nosql,programming language
4331,1115772457,Laborum,react,programming language
4359,1115772031,Laborum,java,programming language
4362,1115772031,Laborum,angular.js,programming language
4363,1115772031,Laborum,nodejs,programming language
4376,1115772031,Laborum,python,programming language
4377,1115772031,Laborum,java,programming language
4378,1115772031,Laborum,ruby,programming language
4378,1115772031,Laborum,ruby on rails,programming language
4379,1115772031,Laborum,javascript,programming language
4379,1115772031,Laborum,coffeescript,programming language
4380,1115772031,Laborum,html,programming language
4380,1115772031,Laborum,haml,programming language
4380,1115772031,Laborum,xml,programming language
4380,1115772031,Laborum,css,programming language
4381,1115772031,Laborum,django,programming language
4381,1115772031,Laborum,ajax,programming language
4396,1115771968,Laborum,agile,programming language
4398,1115771968,Laborum,languages,programming language
4403,1115771968,Laborum,web,programming language
4404,1115771968,Laborum,java,programming language
4405,1115771968,Laborum,html,programming language
4406,1115771968,Laborum,css,programming language
4407,1115771968,Laborum,ajax,programming language
4408,1115771968,Laborum,php,programming language
4409,1115771968,Laborum,javascript,programming language
4412,1115771968,Laborum,c++,programming language
4413,1115771968,Laborum,pascal,programming language
4470,1115771872,Laborum,html,programming language
4471,1115771872,Laborum,css,programming language
4474,1115771872,Laborum,javascript,programming language
4522,1115771872,Laborum,html,programming language
4523,1115771872,Laborum,css,programming language
4526,1115771872,Laborum,javascript,programming language
4574,1115771872,Laborum,html,programming language
4575,1115771872,Laborum,css,programming language
4578,1115771872,Laborum,javascript,programming language
